,region,province,zip_code,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
0,Flanders,Flemish Brabant,1970,HOUSE,HOUSE,460000.0,3.0,120.0,USA_HYPER_EQUIPPED,0,0,1,20.0,1,110.0,227.0,2.0,0,GOOD
1,Brussels,Brussels,1150,HOUSE,HOUSE,599000.0,4.0,203.0,INSTALLED,0,0,1,0.0,1,50.0,258.0,3.0,0,GOOD
2,Flanders,Antwerp,2970,HOUSE,HOUSE,655000.0,2.0,235.0,INSTALLED,0,0,0,0.0,0,0.0,930.0,4.0,0,AS_NEW
3,Brussels,Brussels,1000,HOUSE,MIXED_USE_BUILDING,1475000.0,6.0,518.0,NOT_INSTALLED,0,0,1,74.04161384425049,1,200.0,330.0,2.0,0,TO_RENOVATE
4,Wallonie,Liège,4500,HOUSE,HOUSE,149500.0,3.0,100.0,SEMI_EQUIPPED,0,0,0,0.0,0,0.0,265.0,3.0,0,GOOD
5,Wallonie,Hainaut,7100,HOUSE,HOUSE,155000.0,3.0,154.0,INSTALLED,0,0,1,0.0,0,0.0,222.0,2.0,0,GOOD
6,Flanders,West Flanders,8792,HOUSE,HOUSE,299500.0,3.0,140.0,INSTALLED,0,0,0,0.0,0,0.0,1461.0,4.0,0,GOOD
7,Flanders,East Flanders,9000,HOUSE,HOUSE,350000.0,2.0,127.0,HYPER_EQUIPPED,0,0,1,0.0,1,55.0,94.0,2.0,0,GOOD
8,Flanders,West Flanders,8660,HOUSE,HOUSE,360000.0,3.0,206.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,1494.0,1.0,0,TO_RESTORE
9,Wallonie,Namur,5370,HOUSE,VILLA,395000.0,4.0,180.0,USA_HYPER_EQUIPPED,0,0,1,0.0,1,820.0,1000.0,4.0,0,JUST_RENOVATED
10,Wallonie,Luxembourg,6790,HOUSE,HOUSE,460000.0,4.0,130.0,INSTALLED,0,0,1,10.0,0,0.0,503.0,4.0,0,GOOD
11,Flanders,East Flanders,9280,HOUSE,HOUSE,689000.0,3.0,260.0,USA_HYPER_EQUIPPED,0,0,1,60.0,1,1800.0,2080.0,4.0,0,GOOD
12,Brussels,Brussels,1170,HOUSE,HOUSE,730000.0,3.0,185.0,USA_INSTALLED,0,1,1,15.0,1,50.0,155.0,2.0,0,GOOD
13,Wallonie,Walloon Brabant,1332,HOUSE,HOUSE,485000.0,3.0,148.0,SEMI_EQUIPPED,0,0,0,0.0,1,88.0,232.0,3.0,0,GOOD
14,Wallonie,Walloon Brabant,1410,HOUSE,HOUSE,549000.0,4.0,207.0,INSTALLED,0,0,1,25.0,1,230.0,464.0,3.0,0,GOOD
15,Wallonie,Walloon Brabant,1420,HOUSE,HOUSE,549000.0,4.0,207.0,INSTALLED,0,0,1,25.0,1,230.0,464.0,3.0,0,GOOD
16,Wallonie,Namur,5640,HOUSE,HOUSE,250000.0,4.0,135.0,SEMI_EQUIPPED,0,0,1,30.0,1,1400.0,1651.0,4.0,0,TO_BE_DONE_UP
17,Wallonie,Namur,5650,HOUSE,HOUSE,250000.0,4.0,135.0,SEMI_EQUIPPED,0,0,1,30.0,1,1400.0,1651.0,4.0,0,TO_BE_DONE_UP
18,Flanders,Flemish Brabant,1755,HOUSE,HOUSE,329000.0,2.0,167.0,SEMI_EQUIPPED,0,0,0,0.0,0,0.0,402.0,4.0,0,TO_BE_DONE_UP
19,Flanders,Flemish Brabant,3020,HOUSE,HOUSE,370000.0,3.0,181.0,SEMI_EQUIPPED,0,0,0,0.0,1,151.0,265.0,3.0,0,TO_BE_DONE_UP
20,Wallonie,Walloon Brabant,1420,HOUSE,HOUSE,695000.0,6.0,300.0,INSTALLED,0,0,0,0.0,1,900.0,1100.0,4.0,0,AS_NEW
